cell_id,cluster,leiden
397,immune,17
398,proliferating epithelial,0
399,GATA3+ epithelial,13
400,proliferating epithelial,13
401,GATA3+ epithelial,2
402,luminal epithelial 2,11
403,luminal epithelial 1,22
404,immune,2
405,luminal epithelial 3,1
406,stromal 1,2
407,luminal epithelial 2,13
408,GATA3+ epithelial,1
409,luminal epithelial 2,4
410,t cells,3
411,GATA3+ epithelial,1
412,proliferating epithelial,13
413,luminal epithelial 3,13
414,GATA3+ epithelial,13
415,luminal epithelial 2,1
416,immune,0
417,luminal epithelial 2,1
418,GATA3+ epithelial,0
419,GATA3+ epithelial,13
420,GATA3+ epithelial,3
421,immune,1
422,GATA3+ epithelial,0
423,GATA3+ epithelial,1
424,proliferating epithelial,22
425,proliferating epithelial,4
426,luminal epithelial 1,22
427,luminal epithelial 3,7
428,fibroblasts,0
429,immune,1
430,immune,0
431,stromal 3,1
432,GATA3+ epithelial,15
433,GATA3+ epithelial,13
434,stromal 1,2
435,luminal epithelial 3,1
436,proliferating epithelial,16
437,luminal epithelial 2,7
438,luminal epithelial 2,0
439,hypoxic cells,2
440,GATA3+ epithelial,13
441,proliferating epithelial,2
442,luminal epithelial 2,0
443,GATA3+ epithelial,1
444,luminal epithelial 3,2
445,proliferating epithelial,0
446,proliferating epithelial,13
447,proliferating epithelial,11
448,GATA3+ epithelial,22
449,apoptotic epithelial 1,22
450,immune,1
451,luminal epithelial 3,16
452,immune,16
453,luminal epithelial 3,0
454,immune,3
455,stromal 1,0
456,proliferating epithelial,0
457,proliferating epithelial,16
458,stromal 1,1
459,GATA3+ epithelial,0
460,GATA3+ epithelial,1
461,luminal epithelial 3,1
462,stromal 1,1
463,proliferating epithelial,4
464,immune,1
465,epithelial,2
466,GATA3+ epithelial,1
467,GATA3+ epithelial,13
468,immune,13
469,proliferating epithelial,1
470,stromal 1,4
471,epithelial,1
472,hypoxic cells,25
473,luminal epithelial 3,8
474,GATA3+ epithelial,1
475,hypoxic cells,0
476,proliferating epithelial,16
477,apoptotic epithelial 1,13
478,immune,13
479,luminal epithelial 3,2
480,proliferating epithelial,0
481,proliferating epithelial,11
482,immune,23
483,basal epithelial 1,22
484,hypoxic cells,1
485,hypoxic cells,2
486,stromal 3,22
487,luminal epithelial 3,14
488,GATA3+ epithelial,22
489,proliferating epithelial,1
490,immune,13
491,immune,2
492,stromal 1,2
493,basal epithelial 1,1
494,epithelial,2
495,luminal epithelial 3,1
496,luminal epithelial 3,1
497,t cells,3
498,proliferating epithelial,0
499,luminal epithelial 3,2
500,luminal epithelial 3,0
501,t cells,0
502,epithelial,2
503,luminal epithelial 3,2
504,luminal epithelial 1,0
505,GATA3+ epithelial,3
506,luminal epithelial 1,12
507,proliferating epithelial,22
508,luminal epithelial 3,7
509,t cells,0
510,stromal 1,1
511,apoptotic epithelial 2,5
512,luminal epithelial 1,2
513,epithelial,1
514,proliferating epithelial,22
515,proliferating epithelial,0
516,luminal epithelial 1,15
517,t cells,3
518,immune,1
519,luminal epithelial 1,1
520,proliferating epithelial,13
521,stromal 1,22
522,luminal epithelial 3,0
523,proliferating epithelial,4
524,proliferating epithelial,17
525,luminal epithelial 3,19
526,GATA3+ epithelial,0
527,luminal epithelial 3,1
528,luminal epithelial 2,22
529,GATA3+ epithelial,22
530,immune,0
531,GATA3+ epithelial,4
532,GATA3+ epithelial,1
533,GATA3+ epithelial,3
534,luminal epithelial 1,16
535,immune,2
536,luminal epithelial 3,8
537,apoptotic epithelial 2,1
538,epithelial,2
539,proliferating epithelial,13
540,luminal epithelial 2,15
541,GATA3+ epithelial,2
542,luminal epithelial 1,13
543,GATA3+ epithelial,0
544,stromal 1,1
545,luminal epithelial 3,5
546,GATA3+ epithelial,2
547,stromal 1,4
548,GATA3+ epithelial,14
549,GATA3+ epithelial,13
550,luminal epithelial 2,7
551,luminal epithelial 2,4
